"Town","County","Postcode"
"COLERAINE","LONDONDERRY","BT513EE"
"PORTSTEWART","LONDONDERRY","BT557HX"
"BALLYCASTLE","ANTRIM","BT546QH"
"ARTICLAVE","LONDONDERRY","BT514UU"
"ARTICLAVE","LONDONDERRY","BT514XN"
"PORTSTEWART","LONDONDERRY","BT557JJ"
"BELFAST","ANTRIM","BT146HP"
"ARTICLAVE","LONDONDERRY","BT514UY"
"ARTICLAVE","LONDONDERRY","BT514UN"
"PORTADOWN","ARMAGH","BT618DB"
"CASTLEROCK","LONDONDERRY",NA
"BALLYCASTLE","ANTRIM","BT546PG"
"COLERAINE","LONDONDERRY","BT513LP"
"BALLYCASTLE","ANTRIM","BT546RZ"
"COLERAINE","LONDONDERRY","BT513EU"
"COLERAINE","LONDONDERRY","BT513HB"
"COLERAINE","LONDONDERRY","BT513RA"
"LURGAN","ARMAGH","BT679AU"
"COLERAINE","LONDONDERRY","BT513HE"
"PORTSTEWART","LONDONDERRY","BT557GB"
"PORTSTEWART","LONDONDERRY","BT557SE"
"COLERAINE","LONDONDERRY","BT513JS"
"BELFAST","ANTRIM","BT96UD"
"BALLYGAWLEY","TYRONE","BT702JE"
"CASTLEROCK","LONDONDERRY","BT514XA"
"COLERAINE","LONDONDERRY","BT521NG"
"COLERAINE","LONDONDERRY","BT513PB"
"COLERAINE","LONDONDERRY","BT522AF"
"COLERAINE","LONDONDERRY","BT513DG"
"PORTSTEWART","LONDONDERRY","BT557LD"
"COLERAINE","LONDONDERRY","BT521QF"
"COLERAINE","LONDONDERRY","BT521NQ"
"COLERAINE","LONDONDERRY","BT513LF"
"COLERAINE","LONDONDERRY","BT513DX"
"BALLYMONEY","ANTRIM","BT538BE"
"ARMAGH","ARMAGH","BT602AA"
"ARMAGH","ARMAGH","BT601NZ"
"COLERAINE","LONDONDERRY","BT513BZ"
"COLERAINE","LONDONDERRY","BT522DS"
"COLERAINE","LONDONDERRY","BT522JW"
"COLERAINE","LONDONDERRY","BT521JU"
"COLERAINE","LONDONDERRY","BT521JT"
"PORTSTEWART","LONDONDERRY","BT557JQ"
"PORTSTEWART","LONDONDERRY","BT557GZ"
"COLERAINE","LONDONDERRY","BT521LP"
"ARMAGH","ARMAGH","BT601JZ"
"COLERAINE","LONDONDERRY","BT521QY"
"COLERAINE","LONDONDERRY","BT521LD"
"COLERAINE","LONDONDERRY","BT522AB"
"COLERAINE","LONDONDERRY","BT521HH"
"BANBRIDGE","DOWN","BT324SH"
"COLERAINE","LONDONDERRY","BT521QG"
"ARMAGH","ARMAGH","BT602FH"
"COLERAINE","LONDONDERRY","BT522NH"
"COLERAINE","LONDONDERRY","BT521QA"
"COLERAINE","LONDONDERRY","BT513BA"
"COLERAINE","LONDONDERRY","BT522HP"
"COLERAINE","LONDONDERRY","BT513DP"
"COLERAINE","LONDONDERRY","BT522AU"
"COLERAINE","LONDONDERRY","BT522QB"
"COLERAINE","LONDONDERRY","BT522AT"
"COLERAINE","LONDONDERRY","BT521LA"
"COLERAINE","LONDONDERRY","BT513BL"
"ARTICLAVE","LONDONDERRY","BT514UE"
"ARMAGH","ARMAGH","BT603DN"
"COLERAINE","LONDONDERRY","BT522AP"
"BALLYMONEY","ANTRIM","BT538BX"
"BALLYCASTLE","ANTRIM","BT546HY"
"COLERAINE","LONDONDERRY","BT522NP"
"COLERAINE","LONDONDERRY","BT513BY"
"COLERAINE","LONDONDERRY","BT513AQ"
"COLERAINE","LONDONDERRY","BT522DD"
"BALLYMONEY","ANTRIM","BT538BH"
"COLERAINE","LONDONDERRY","BT522JB"
"COLERAINE","LONDONDERRY","BT522QL"
"COLERAINE","LONDONDERRY","BT522HL"
"BELFAST","ANTRIM","BT71NE"
"ARMOY","ANTRIM","BT538RB"
"ARMOY","ANTRIM","BT538RX"
"COLERAINE","LONDONDERRY","BT522NF"
"ARMOY","ANTRIM","BT538UL"
"COLERAINE","LONDONDERRY","BT522ER"
"COLERAINE","LONDONDERRY","BT522EP"
"COLERAINE","LONDONDERRY","BT522EL"
"BUSHMILLS","ANTRIM","BT578UQ"
"COLERAINE","LONDONDERRY","BT522ES"
NA,"ANTRIM","BT536TF"
"COLERAINE","LONDONDERRY","BT513AG"
"COLERAINE","LONDONDERRY","BT522AW"
"COLERAINE","LONDONDERRY","BT522EU"
"BALLYMONEY","ANTRIM","BT538EB"
"BALLYMENA","ANTRIM","BT440PW"
"COLERAINE","LONDONDERRY","BT522HA"
"MAGHERA","LONDONDERRY","BT465UX"
"COLERAINE","LONDONDERRY","BT521DS"
NA,"ANTRIM","BT536NU"
"LIMAVADY","LONDONDERRY","BT490HZ"
"HAMILTONSBAWN","ARMAGH","BT601JR"
"COLERAINE","LONDONDERRY","BT521QW"
"COLERAINE","LONDONDERRY","BT513HJ"
"COLERAINE","LONDONDERRY","BT521UN"
"BALLYMONEY","ANTRIM","BT538RG"
"BALLYMONEY","ANTRIM","BT536QT"
"NEWTOWNABBEY","ANTRIM","BT367YJ"
"LIMAVADY","LONDONDERRY","BT490HR"
"COLERAINE","LONDONDERRY","BT522BL"
"COLERAINE","LONDONDERRY","BT522HF"
"COLERAINE","LONDONDERRY","BT521TA"
"COLERAINE","LONDONDERRY","BT521NU"
"COLERAINE","LONDONDERRY","BT521TL"
"COLERAINE","LONDONDERRY","BT521JJ"
"COLERAINE","LONDONDERRY","BT521JZ"
"COLERAINE","LONDONDERRY","BT513QS"
"COOKSTOWN","TYRONE","BT800HN"
"COLERAINE","LONDONDERRY","BT522EN"
"COLERAINE","LONDONDERRY","BT521RH"
"COLERAINE","LONDONDERRY","BT513SU"
"ARTIKELLY","LONDONDERRY","BT490RA"
"COLERAINE","LONDONDERRY","BT521TD"
"COLERAINE","LONDONDERRY","BT521PJ"
"DUNGANNON","TYRONE","BT696DJ"
"COLERAINE","LONDONDERRY","BT513QX"
"COLERAINE","LONDONDERRY","BT521TU"
"PORTAVOGIE","DOWN","BT221HD"
"COLERAINE","LONDONDERRY","BT513AN"
"COLERAINE","LONDONDERRY","BT513SS"
"CUSHENDALL","ANTRIM","BT440TF"
"BALLYMONEY","ANTRIM","BT538EW"
"BALLYGOWAN","DOWN","BT236JG"
"COLERAINE","LONDONDERRY","BT514JA"
"COLERAINE","LONDONDERRY","BT513GB"
"COLERAINE","LONDONDERRY","BT521SS"
"COLERAINE","LONDONDERRY","BT522HB"
"COLERAINE","LONDONDERRY","BT522HX"
"COLERAINE","LONDONDERRY","BT522JD"
"COLERAINE","LONDONDERRY","BT513QF"
"COLERAINE","LONDONDERRY","BT521UB"
"COLERAINE","LONDONDERRY","BT514NF"
"COLERAINE","LONDONDERRY","BT521TY"
"COLERAINE","LONDONDERRY","BT522LB"
"BALLYMONEY","ANTRIM","BT538HB"
"BALLYMONEY","ANTRIM","BT536BS"
"BALLYMONEY","ANTRIM","BT536DP"
"LISBURN","DOWN","BT275JX"
"BALLYMONEY","ANTRIM","BT536AN"
"BALLYMONEY","ANTRIM","BT536RP"
"BALLYMONEY","ANTRIM","BT536RW"
"COLERAINE","LONDONDERRY","BT513PJ"
"BALLYMONEY","ANTRIM","BT537BA"
"BALLYMONEY","ANTRIM","BT536LX"
"CROSSMAGLEN","ARMAGH","BT359EG"
"BALLYMONEY","ANTRIM","BT538NJ"
"BALLYMONEY","ANTRIM","BT536NF"
"BALLYMONEY","ANTRIM","BT536NQ"
"BALLYMONEY","ANTRIM","BT537HP"
"BALLYMONEY","ANTRIM","BT538HQ"
"COLERAINE","LONDONDERRY","BT514JE"
"COLERAINE","LONDONDERRY","BT513LH"
"OMAGH","TYRONE","BT797PL"
"BALLYMONEY","ANTRIM","BT537QF"
"BALLYMONEY","ANTRIM","BT536HW"
"BALLYMONEY","ANTRIM","BT536EN"
"BALLYMONEY","ANTRIM","BT536QR"
"BALLYMONEY","ANTRIM","BT537AR"
"BALLYMONEY","ANTRIM","BT536LD"
"BALLYMONEY","ANTRIM","BT536PP"
"BALLYMONEY","ANTRIM","BT536DF"
"BALLYMONEY","ANTRIM","BT536HT"
"BALLYMONEY","ANTRIM","BT536BB"
"BALLYMONEY","ANTRIM","BT536AS"
"BALLYMENA","ANTRIM","BT422BF"
"BALLYMONEY","ANTRIM","BT536BP"
"COLERAINE","LONDONDERRY","BT513QN"
"BALLYMONEY","ANTRIM","BT537BP"
"COLERAINE","LONDONDERRY","BT513GH"
"BALLYMONEY","ANTRIM","BT537AY"
"BALLYMONEY","ANTRIM","BT536AZ"
"BALLYMONEY","ANTRIM","BT537BE"
"DUNGANNON","TYRONE","BT701UZ"
"BALLYMONEY","ANTRIM","BT537BG"
NA,"ANTRIM","BT538PQ"
"BALLYMONEY","ANTRIM","BT536DL"
"CUSHENDALL","ANTRIM","BT440AX"
"BALLYMONEY","ANTRIM","BT537BH"
"LONDONDERRY","LONDONDERRY","BT480RG"
"LONDONDERRY","LONDONDERRY","BT480RQ"
NA,"ANTRIM","BT538LY"
"LONDONDERRY","LONDONDERRY","BT480QA"
"BALLYMONEY","ANTRIM","BT538UT"
"BALLYMONEY","ANTRIM","BT538AX"
"BALLYMONEY","ANTRIM","BT538LD"
"BALLYMONEY","ANTRIM","BT537BW"
"BALLYMONEY","ANTRIM","BT537HS"
"LONDONDERRY","LONDONDERRY","BT480NQ"
"LONDONDERRY","LONDONDERRY","BT480PH"
"LONDONDERRY","LONDONDERRY","BT480PS"
"LONDONDERRY","LONDONDERRY","BT480FG"
"BALLYMONEY","ANTRIM","BT536ND"
"BALLYMONEY","ANTRIM","BT536BF"
"BALLYMONEY","ANTRIM","BT537AS"
"BALLYMONEY","ANTRIM","BT537DS"
"CUSHENDALL","ANTRIM","BT440RZ"
"CUSHENDALL","ANTRIM","BT440SH"
"LONDONDERRY","LONDONDERRY","BT480PF"
"BALLYMONEY","ANTRIM","BT536PY"
"CUSHENDALL","ANTRIM","BT440SQ"
"LONDONDERRY","LONDONDERRY","BT480QQ"
"BALLYMONEY","ANTRIM","BT537HQ"
"BALLYMONEY","ANTRIM","BT538LP"
"BALLYMENA","ANTRIM","BT440AY"
"BALLYMONEY","ANTRIM","BT537HG"
"LONDONDERRY","LONDONDERRY","BT480RL"
"LONDONDERRY","LONDONDERRY","BT480HY"
"LONDONDERRY","LONDONDERRY","BT488NJ"
"LONDONDERRY","LONDONDERRY","BT488BG"
"LONDONDERRY","LONDONDERRY","BT480RR"
"LONDONDERRY","LONDONDERRY","BT480QB"
"BALLYMONEY","ANTRIM","BT538JH"
"LONDONDERRY","LONDONDERRY","BT480JH"
"LONDONDERRY","LONDONDERRY","BT480QS"
"LONDONDERRY","LONDONDERRY","BT488HH"
"LONDONDERRY","LONDONDERRY","BT488BW"
"CUSHENDALL","ANTRIM","BT440RP"
"BALLYMENA","ANTRIM","BT440NP"
"LONDONDERRY","LONDONDERRY","BT480RP"
"LONDONDERRY","LONDONDERRY","BT488LE"
"CUSHENDALL","ANTRIM","BT440SP"
"LONDONDERRY","LONDONDERRY","BT480NP"
"LONDONDERRY","LONDONDERRY","BT488LG"
"LONDONDERRY","LONDONDERRY","BT488FH"
"LONDONDERRY","LONDONDERRY","BT488GG"
"LONDONDERRY","LONDONDERRY","BT487RB"
"LONDONDERRY","LONDONDERRY","BT488NY"
"LONDONDERRY","LONDONDERRY","BT487RR"
"LONDONDERRY","LONDONDERRY","BT487TU"
"LONDONDERRY","LONDONDERRY","BT488EL"
"LONDONDERRY","LONDONDERRY","BT488AZ"
"LONDONDERRY","LONDONDERRY","BT487SY"
"LONDONDERRY","LONDONDERRY","BT488DL"
"LONDONDERRY","LONDONDERRY","BT488BA"
"PORTGLENONE","ANTRIM","BT448AN"
"LONDONDERRY","LONDONDERRY","BT480NY"
"KILREA","LONDONDERRY","BT515YB"
"LONDONDERRY","LONDONDERRY","BT488DA"
"LONDONDERRY","LONDONDERRY","BT488JR"
"LONDONDERRY","LONDONDERRY","BT488HW"
"BALLYCASTLE","ANTRIM","BT546HS"
"LONDONDERRY","LONDONDERRY","BT488PU"
"LONDONDERRY","LONDONDERRY","BT488HU"
"CULLYBACKEY","ANTRIM","BT421DZ"
"LONDONDERRY","LONDONDERRY","BT487TT"
"LONDONDERRY","LONDONDERRY","BT488LH"
"LONDONDERRY","LONDONDERRY","BT488PJ"
"LONDONDERRY","LONDONDERRY","BT480NU"
"LONDONDERRY","LONDONDERRY","BT488GR"
"LONDONDERRY","LONDONDERRY","BT487QX"
"LONDONDERRY","LONDONDERRY","BT480RW"
"LONDONDERRY","LONDONDERRY","BT488ET"
"LONDONDERRY","LONDONDERRY","BT488LY"
"LONDONDERRY","LONDONDERRY","BT487TF"
"GREYSTEEL","LONDONDERRY","BT473DE"
NA,"LONDONDERRY","BT476UY"
NA,"LONDONDERRY","BT473DH"
NA,"DOWN","BT236TR"
"BALLYKELLY","LONDONDERRY","BT499QN"
"LONDONDERRY","LONDONDERRY","BT488PB"
"BELFAST","ANTRIM","BT16BF"
"BANBRIDGE","DOWN","BT323FR"
"LARNE","ANTRIM","BT402UF"
"LONDONDERRY","LONDONDERRY","BT488FE"
"LONDONDERRY","LONDONDERRY","BT476UG"
"LONDONDERRY","LONDONDERRY","BT488JB"
"GREYSTEEL","LONDONDERRY","BT473EF"
"LONDONDERRY","LONDONDERRY","BT488AG"
NA,"LONDONDERRY","BT476XF"
"LONDONDERRY","LONDONDERRY","BT487QH"
"LONDONDERRY","LONDONDERRY","BT476TZ"
"LONDONDERRY","LONDONDERRY","BT487RH"
NA,"LONDONDERRY","BT473XJ"
NA,"LONDONDERRY","BT476UU"
NA,"LONDONDERRY","BT476XN"
"LONDONDERRY","LONDONDERRY","BT488BZ"
NA,"LONDONDERRY","BT473AL"
"LONDONDERRY","LONDONDERRY","BT487TP"
"LONDONDERRY","LONDONDERRY","BT480RT"
"LONDONDERRY","LONDONDERRY","BT488DU"
"GREYSTEEL","LONDONDERRY","BT473JF"
"LIMAVADY","LONDONDERRY","BT490EY"
"LIMAVADY","LONDONDERRY","BT490HQ"
"LIMAVADY","LONDONDERRY","BT499DA"
"LIMAVADY","LONDONDERRY","BT490DS"
"LISNASKEA","FERMANAGH","BT920LU"
"BALLYKELLY","LONDONDERRY","BT499QE"
"LIMAVADY","LONDONDERRY","BT490BL"
"LIMAVADY","LONDONDERRY","BT490EA"
"LIMAVADY","LONDONDERRY","BT490AN"
"LIMAVADY","LONDONDERRY","BT490RL"
"LIMAVADY","LONDONDERRY","BT490NB"
"LIMAVADY","LONDONDERRY","BT499LF"
"LIMAVADY","LONDONDERRY","BT490BN"
"LIMAVADY","LONDONDERRY","BT490NZ"
"BALLYKELLY","LONDONDERRY","BT499HX"
"ANTRIM","ANTRIM","BT414RQ"
"GREYSTEEL","LONDONDERRY","BT473JD"
"LIMAVADY","LONDONDERRY","BT499BP"
"LIMAVADY","LONDONDERRY","BT499EN"
NA,"LONDONDERRY","BT476XL"
"LIMAVADY","LONDONDERRY","BT490RS"
"BELFAST","ANTRIM","BT100AA"
"LIMAVADY","LONDONDERRY","BT499BW"
"CLAUDY","LONDONDERRY","BT499LT"
"LIMAVADY","LONDONDERRY","BT499BN"
"BELFAST","DOWN","BT55GG"
"LIMAVADY","LONDONDERRY","BT499AX"
NA,"LONDONDERRY","BT473DW"
NA,"LONDONDERRY","BT476XA"
"BALLYKELLY","LONDONDERRY","BT499JY"
"LIMAVADY","LONDONDERRY","BT490NA"
"LIMAVADY","LONDONDERRY","BT490DQ"
"BELFAST","DOWN","BT42BJ"
"LIMAVADY","LONDONDERRY","BT499AY"
"BELFAST","ANTRIM","BT132ES"
"GREYSTEEL","LONDONDERRY","BT473XB"
NA,"LONDONDERRY","BT473DR"
NA,"LONDONDERRY","BT473QE"
"WARRENPOINT","DOWN","BT343FP"
"BALLYKELLY","LONDONDERRY","BT499DS"
"LIMAVADY","LONDONDERRY","BT490QG"
"LIMAVADY","LONDONDERRY","BT499DQ"
"LIMAVADY","LONDONDERRY","BT490RY"
NA,"ANTRIM","BT449EN"
"LIMAVADY","LONDONDERRY","BT490RG"
"COLERAINE","LONDONDERRY","BT514BN"
"LIMAVADY","LONDONDERRY","BT490EU"
"BALLYMONEY","ANTRIM","BT537TE"
"BALLYMONEY","ANTRIM","BT537LU"
"BALLYMONEY","ANTRIM","BT537TD"
"LIMAVADY","LONDONDERRY","BT490NQ"
"LIMAVADY","LONDONDERRY","BT499EW"
"LIMAVADY","LONDONDERRY","BT490EF"
"LIMAVADY","LONDONDERRY","BT490QN"
"LIMAVADY","LONDONDERRY","BT490UB"
"LIMAVADY","LONDONDERRY","BT490DP"
"LIMAVADY","LONDONDERRY","BT490EB"
"GARVAGH","LONDONDERRY","BT515HH"
"GARVAGH","LONDONDERRY","BT515HS"
"COLERAINE","LONDONDERRY","BT514NN"
"BENBURB","TYRONE","BT717UH"
"BALLYMONEY","ANTRIM","BT537DY"
"COLERAINE","LONDONDERRY","BT514AB"
NA,"ANTRIM","BT449PU"
"BALLYMONEY","ANTRIM","BT537BX"
"LIMAVADY","LONDONDERRY","BT499BA"
"LONDONDERRY","LONDONDERRY","BT472AF"
"LONDONDERRY","LONDONDERRY","BT489NS"
"NEW BUILDINGS","LONDONDERRY","BT472QN"
NA,"ANTRIM","BT449DG"
"CARNLOUGH","ANTRIM","BT440JJ"
"NEW BUILDINGS","LONDONDERRY","BT472RF"
"LONDONDERRY","LONDONDERRY","BT489UE"
"GARVAGH","LONDONDERRY","BT515EQ"
"LONDONDERRY","LONDONDERRY","BT472NN"
"NEW BUILDINGS","LONDONDERRY","BT472RE"
"LONDONDERRY","LONDONDERRY","BT480RY"
"LONDONDERRY","LONDONDERRY","BT489UB"
"LONDONDERRY","LONDONDERRY","BT489XT"
"LIMAVADY","LONDONDERRY","BT490TQ"
NA,"ANTRIM","BT449EF"
NA,"ANTRIM","BT449AG"
"LONDONDERRY","LONDONDERRY","BT472PA"
"BALLYMENA","ANTRIM","BT449JJ"
"PORTSTEWART","LONDONDERRY","BT557TL"
"LONDONDERRY","LONDONDERRY","BT489RZ"
"BALLYCASTLE","ANTRIM","BT546JQ"
"NEW BUILDINGS","LONDONDERRY","BT472QL"
"MONEYREAGH","DOWN","BT236BL"
"LONDONDERRY","LONDONDERRY","BT489NH"
"BALLYMENA","ANTRIM","BT440QZ"
"COLERAINE","LONDONDERRY","BT514HN"
NA,"ANTRIM","BT449QS"
NA,"ANTRIM","BT449BU"
"NEW BUILDINGS","LONDONDERRY","BT472RA"
"LONDONDERRY","LONDONDERRY","BT489QH"
"NEW BUILDINGS","LONDONDERRY","BT472QY"
"BALLYMONEY","ANTRIM","BT537JJ"
"BALLYMONEY","ANTRIM","BT537ED"
NA,"ANTRIM","BT537DB"
"LONDONDERRY","LONDONDERRY","BT472NT"
NA,"ANTRIM","BT440RQ"
"CARNLOUGH","ANTRIM","BT440JL"
"LONDONDERRY","LONDONDERRY","BT480RU"
"LONDONDERRY","LONDONDERRY","BT489TD"
"DUNDONALD","DOWN","BT162FE"
"LONDONDERRY","LONDONDERRY","BT472NY"
"LONDONDERRY","LONDONDERRY","BT489LR"
"LONDONDERRY","LONDONDERRY","BT489LB"
"LONDONDERRY","LONDONDERRY","BT489NX"
"LONDONDERRY","LONDONDERRY","BT489NA"
"LONDONDERRY","LONDONDERRY","BT480EG"
"LONDONDERRY","LONDONDERRY","BT489PX"
"LONDONDERRY","LONDONDERRY","BT489HR"
"DUNDONALD","DOWN","BT161WS"
"NEW BUILDINGS","LONDONDERRY","BT472RQ"
"LONDONDERRY","LONDONDERRY","BT489XD"
"LONDONDERRY","LONDONDERRY","BT472NU"
"LONDONDERRY","LONDONDERRY","BT486NJ"
"LONDONDERRY","LONDONDERRY","BT487JS"
"LONDONDERRY","LONDONDERRY","BT489JQ"
"LONDONDERRY","LONDONDERRY","BT486NR"
"LONDONDERRY","LONDONDERRY","BT489AX"
"BALLYMENA","ANTRIM","BT440RA"
"LONDONDERRY","LONDONDERRY","BT489NG"
"LONDONDERRY","LONDONDERRY","BT489SB"
"LONDONDERRY","LONDONDERRY","BT489BQ"
"LONDONDERRY","LONDONDERRY","BT486SS"
"LONDONDERRY","LONDONDERRY","BT487HR"
"LONDONDERRY","LONDONDERRY","BT487HT"
"LONDONDERRY","LONDONDERRY","BT480HB"
"ENNISKILLEN","FERMANAGH","BT747GZ"
"BALLYMENA","ANTRIM","BT449JQ"
"BALLYMENA","ANTRIM","BT449HT"
"LONDONDERRY","LONDONDERRY","BT486NU"
"LONDONDERRY","LONDONDERRY","BT489JG"
"LONDONDERRY","LONDONDERRY","BT480DZ"
"LONDONDERRY","LONDONDERRY","BT489NL"
"LONDONDERRY","LONDONDERRY","BT489XE"
"NEW BUILDINGS","LONDONDERRY","BT472RD"
"LONDONDERRY","LONDONDERRY","BT489RU"
"LONDONDERRY","LONDONDERRY","BT487LL"
"LONDONDERRY","LONDONDERRY","BT489EE"
"LONDONDERRY","LONDONDERRY","BT489EQ"
"LONDONDERRY","LONDONDERRY","BT489NQ"
"LONDONDERRY","LONDONDERRY","BT489XL"
"CLOGHY","DOWN","BT221RT"
"LONDONDERRY","LONDONDERRY","BT489PQ"
"LONDONDERRY","LONDONDERRY","BT486AX"
"LONDONDERRY","LONDONDERRY","BT487JT"
"CLOGHY","DOWN","BT221RU"
"LONDONDERRY","LONDONDERRY","BT487ER"
"LONDONDERRY","LONDONDERRY","BT487JD"
"LONDONDERRY","LONDONDERRY","BT486UQ"
"LONDONDERRY","LONDONDERRY","BT489DS"
"LONDONDERRY","LONDONDERRY","BT489DA"
"LONDONDERRY","LONDONDERRY","BT480HF"
"LONDONDERRY","LONDONDERRY","BT486DW"
"LONDONDERRY","LONDONDERRY","BT487PD"
"LONDONDERRY","LONDONDERRY","BT486LZ"
"LONDONDERRY","LONDONDERRY","BT472AD"
"LONDONDERRY","LONDONDERRY","BT486JW"
"LONDONDERRY","LONDONDERRY","BT486ST"
"LONDONDERRY","LONDONDERRY","BT486XJ"
"BELFAST","ANTRIM","BT71JW"
"BANGOR","DOWN","BT203GS"
"LONDONDERRY","LONDONDERRY","BT476BT"
"LONDONDERRY","LONDONDERRY","BT486LP"
"ENNISKILLEN","FERMANAGH","BT744BE"
"LONDONDERRY","LONDONDERRY","BT487LN"
"LONDONDERRY","LONDONDERRY","BT489DU"
"SILVERBRIDGE","ARMAGH","BT359TF"
"CLAUDY","LONDONDERRY","BT476AQ"
"LONDONDERRY","LONDONDERRY","BT486SA"
"LONDONDERRY","LONDONDERRY","BT476DW"
"LONDONDERRY","LONDONDERRY","BT472BH"
